MIDWEST GRAIN FUTURES 11:31 EDT|MINNEAPOLIS WHEAT MAY7 285 UP 1 1/2 JUL7 281 UP 1/4 SEP7 277 UP 1 DEC7 -- -- MAR8 -- --
KANSAS CITY TRUCK PRICES - USDA|FOR SUPPLIES DELIVERED TO K.C. WINTER WHEAT 1 Hard Red-- Ordinary Protein 288-292 dn 1 2 Soft Red 292-293 unch-dn 1 2 YELLOW CORN 158-160 up 2-unch 2 YELLOW SORGHUM 271-282 unch-up 3 1 YELLOW SOYBEANS 499-505 up 5 Reuter
SAN MIGUEL DEAL HIT BY MORE LAWSUITS|A bid by San Miguel Corp (SMC) <SANM.MN> to buy back 38.1 mln sequestered shares from United Coconut Planters Bank (UCPB) has been hit by two new lawsuits, sources in the Philippine food and brewery company said. A Manila court yesterday issued an injunction barring UCPB from selling the shares, which represent 31 pct of SMC's outstanding capital stock of 121 mln shares, until hearings on April 21 on a petition filed by Eduardo Cojuangco, a former chairman of both SMC and UCPB. Cojuangco said the Coconut Industry Investment Fund (CIIF) and 1.4 mln farmers were the rightful owners of the shares. Cojuangco said the shares were held in trust by UCPB and represented a blue chip investment. His petition said UCPB's plans to sell the shares to SMC were "a serious breach of fiduciary duties." The SMC sources said the proposed share sale could also be held up by a second derivative suit filed before the Securities and Exchange Commission (SEC) by Eduardo de los Angeles, a government nominee on the company's board. De los Angeles, who represents SMC's minority stockholders, asked the SEC to block the transaction, approved last week by the company's board. On April 2 the board sanctioned the repurchase of the sequestered shares for 4.79 billion pesos at 126 pesos per share. De los Angeles told the SEC the company's retained earnings of 1.33 billion pesos would be wiped out by the purchase of the shares and would prevent the declaration of dividends. De los Angeles said the share purchase would also violate an SMC agreement with its creditors to maintain a 2.2-to-1 debt to equity ratio. He quoted SMC's chief financial director Ramon del Rosario as telling the board that the transaction would boost the ratio to 2.5-to-1. In petitioning the SEC, de los Angeles amended an earlier suit two weeks ago in which he charged SMC Chairman Andres Soriano III and nine other directors of violating their duties. De los Angeles' earlier complaint related to SMC assuming last December a 26.5 mln dlr loan contracted by SMC's Hong Kong subsidiary <Neptunia Corp> for a down payment on the shares. The loan assumption was again ratified by last week's board meeting. An arbitration panel set up by President Corazon Aquino to resolve the ownership issue is expected to submit its report by April 15. "The amended suit filed by Eduardo de los Angeles is part of a continuing attempt by certain elements, in complete disregard of the facts and with questionable motives, to delay an early disposition of the sequestered shares," San Miguel Corp said in a statement. "Coming as it does, when San Miguel Corp and UCPB have reached agreement on the price of the shares and the method of payment, this suit is in direct contravention of the government's expressed desire to reach an amicable settlement of the controversy by April 15," the statement added. A San Miguel spokesman said he had no comment on Cojuangco's court petition, adding: "Any statement coming from us might be interpreted as adversarial." Meanwhile, Ramon Diaz, the head of a government panel which sequestered the shares last year, said Soriano was not eligible to buy the major portion of the shares because he was a United States citizen. The sequestered shares are split into 24 mln "A" shares, which can only be owned by Filipinos, and 14 mln "B" shares which are available to foreign buyers. SMC sources said Soriano personally was not among prospective buyers. They said the shares would be purchased by the <A.Soriano> group of companies, SMC, Neptunia and unnamed institutional investors. Soriano was named as one of the buyers in a bid in March 1986 for 33 mln shares controlled by UCPB. The sale was aborted when Diaz's Presidential Commission on Good Government sequestered the shares on suspicion they were owned by Cojuangco, a close associate of former President Ferdinand Marcos. Cojuangco lives in self-imposed exile in the U.S.. The shares grew to 38.1 mln after a 15 pct stock dividend announced last June. "We have no objection to Soriano buying the "B" shares," Diaz told Reuters. "But everything is on hold now." The SMC spokesman said he did not know if the controversy would be resolved before the company's annual stockholders' meeting, scheduled for May 14. San Miguel Corp reported sales revenue of 12.2 billion pesos in 1986, 11 pct above its 10.9 billion peso sales in 1985. It said unaudited net profit was in the neighbourhood of 700 mln pesos, an increase of about 50 pct over 1985. REUTER
BUFFTON <BUFF> TO POST INVESTIGATION CHARGE|Buffton Corp said it will conduct an investigation on a plant designated as a Superfund Site, which will result in a charge of about six cts per share in its second quarter. In the year ago second quarter, Buffton reported net income of 10 cts a share or 330,000 dlrs on sales of 10.3 mln dlrs. The study should be completed in nine months and will determine any clean-up or remedial action that may be required. Robintech Inc, the plant's former owner, will split the cost. Buffton said its share will cost 400,000 dlrs. Reuter
WESTERN MINING TO OPEN NEW GOLD MINE IN AUSTRALIA|Western Mining Corp Holdings Ltd <WMNG.S> (WMC) said it will establish a new joint venture gold mine in the Northern Territory at a cost of about 21 mln dlrs. The mine, to be known as the Goodall project, will be owned 60 pct by WMC and 40 pct by a local W.R. Grace and Co <GRA> unit. It is located 30 kms east of the Adelaide River at Mt. Bundey, WMC said in a statement It said the open-pit mine, with a conventional leach treatment plant, is expected to produce about 50,000 ounces of gold in its first year of production from mid-1988. Annual ore capacity will be about 750,000 tonnes. REUTER
LONDON COMMODITY EXCHANGE VOLUME STEADY - ICCH|Trading volume on the London Commodity Exchange held steady overall in March, according to figures issued by the International Commodities Clearing House. Total volume was 238,287 lots against 235,665 in March 1986 and 233,403 in February 1987. Cocoa volume was down to 62,686 lots last month from 82,192 lots in March 1986. It totalled 65,662 in February 1987. However, coffee volume grew to 100,597 lots from 93,440 a year earlier and 83,283 in February this year. Sugar trading totalled 75,004 lots, up on the March 1986 total of 60,033, but below February's 84,458. For the whole first quarter, sugar volume was substantially higher at 232,601 against last year's 115,987, while coffee was down to 269,190 from 433,487. Cocoa volume in the first quarter this year fell to 190,142 from 221,899 in 1986 and total volume for the three commodities was down to 691,933 from 771,373. Reuter
LONDON EXCHANGES - SDR CALCULATION|The following information has been advised by the Bank of England to the International Monetary Fund in Washington to enable calculation of the value of the SDR - middle spot rates at noon today. DMK 1.8216 FFR 6.0612 YEN 145.15 STG 1.6198
FLASH ST PAUL HOGS UP 1.00/2.00 DLRS - USDA|barrow and gilt prices rose 1.00 to 2.00 dlrs in very active trade, the usda said. us 1-3 220-260 lbs 51.50-52.00. Reuter
SUPERMARKETS GENERAL <SGL> AFFIRMED BY S/P|Standard and Poor's Corp said it affirmed the A-minus rating on Supermarkets General Corp's 12.2 mln dlrs of industrial revenue bonds. S and P cited the withdrawal by Dart Group of its 1.73 billion dlr bid for Supermarkets General. Supermarkets General had been under review for possible downgrade because of the Dart Group bid. However, S and P pointed out that Dart is still interested in Supermarkets General and the possibility exists that another party would try to acquire the company. Reuter
NY COCOA FUTURES CLOSE MIXED|Cocoa futures drifted into a dull finish, settling at nine dlrs lower to seven higher, with most contracts near unchanged from midday levels. May closed nine dlrs lower at 1,925 dlrs. Estimated volume was 1,461 contracts. Light selling based on weak London prices and continued offers by West African origins applied light pressure. A report from London that traders question the supportive potential of newly-negotiated buffer stock rules was also depressing to prices, analysts said. Bahia arrivals now total a cumulative 6,475,385 bags, private Brazil trade sources said, half a mln bags above the year ago count. Reuter
NIPPON MINING LOWERS COPPER PRICE|Nippon Mining Co Ltd said it lowered its selling price for electrolytic copper by 10,000 yen per tonne to 260,000, effective immediately. REUTER
THAI TRADE DEFICIT WIDENS IN FIRST QUARTER|Thailand's trade deficit widened to 4.5 billion baht in the first quarter of 1987 from 2.1 billion a year ago, the Business Economics Department said. It said Janunary/March imports rose to 65.1 billion baht from 58.7 billion. Thailand's improved business climate this year resulted in a 27 pct increase in imports of raw materials and semi-finished products. The country's oil import bill, however, fell 23 pct in the first quarter due to lower oil prices. The department said first quarter exports expanded to 60.6 billion baht from 56.6 billion. Export growth was smaller than expected due to lower earnings from many key commodities including rice whose earnings declined 18 pct, maize 66 pct, sugar 45 pct, tin 26 pct and canned pineapples seven pct. Products registering high export growth were jewellery up 64 pct, clothing 57 pct and rubber 35 pct. REUTER
TOKYO GOLD FUTURES OPEN SLIGHTLY FIRMER|Yen-denominated gold futures opened mostly firmer, with contracts unchanged to eight yen per gram higher, after falls yesterday, dealers said. Gold closed stronger and near the day's highs in New York yesterday, underpinned by a buoyant silver market, they noted. This generated sporadic buying at the opening here but investors continue to focus interest on the silver market, they said. International bullion firmed to 423.00/423.50 dlrs an ounce from 422.25/3.25 in New York. REUTER
CANNON <CAN> SELLS STAKE IN HBO/CANNON VENTURE|Cannon Group Inc said it agreed in principle to sell its 50 pct interest in the HBO/Cannon Video joint venture to the Home Box Office unit of Time Inc <TL>. The company said it is making the sale because in the near future all of its video products will be licensed in the United States and Canada to either the Warner Brothers unit of Warner Communications Inc <WCI>, or to Media Home Entertainment. Reuter
NACCO INDUSTRIES <NC> TO REPORT 2ND QTR GAIN|Nacco Industries Inc said it will report a gain in the second quarter of about 11.5 mln dlrs or 1.25 dlrs a share from the sale of stock of a subsidiary. Nacco said its North American Coal Corp unit has received notice that Consolidation Coal Co, a unit of Du Pont Co <DD>, will exercise an option to buy all of the stock of Quarto Mining Co, a subsidiary of North American Coal. For the stock, North American Coal will receive about 15.2 mln dlrs, 5.2 mln of which will be paid at closing April 10 and the rest in installments, the company said. In addition, Quarto will pay a dividend to North American Coal of about 10 mln dlrs from retained earnings before closing. The funds were previously used to finance mining operations. Consolidation Coal got the option from the Capco Group of utilities, which received the option from Nacco in 1981. Nacco reported earnings of 10.8 mln dlrs or 1.11 dlrs a share in last year's second quarter. In 1986, Quarto generated 5.9 mln dlrs in net income, equal to 62 cts a share, of Nacco's total 1986 earnings of 3.48 dlrs a share. Quarto produced about 3.6 mln short tons of the 24.3 mln tons produced by North American Coal in 1986, Nacco said. Reuter
TEXAS PANHANDLE/W OKLA FEEDLOT ROUNDUP - USDA|Cattle in the panhandle area monday were 0.50 to 1.50 dlr higher. Trading was very active. Feedlots reported very good interest and inquiry from buying sources. Confirmed sales of 22,700 steers and heifers 8,100 head. There were 37,900 head sold for the week to date. Steers - good and mostly choice 2-3, 70-85 pct choice, 1025-1150 lb 69.00-70.00, late mostly 69.50-70.00. Heifers - near 350 head mostly choice 2-3 1000 lb 68.25. Good and mostly choice 2-3 950-100 lb 66.50-68.00, late mostly 67.00-68.00. Reuter
COLOROCS <CLRX> EXTENDS WARRANT EXERCISE PERIOD|Colorocs Corp said it has extended the expiration of the exercise period for its Class A warrants to May Eight from April 16. Each warrant allows the holder to buy a common share for 3.75 dlrs. Reuter
N.Y. COFFEE FUTURES SLIGHTLY HIGHER, THIN EARLY|N.Y. coffee futures were marginally firmer midmorning, trading in ranges of no more than 0.50 cent. May was up 0.16 cent at 102.20 cents at 1052 hrs EST, in a range of 102.00 to 102.50 cents. July was up 0.15 at 104.15 cents in a 35-point range. Traders said reports that the U.S. State Department does not forsee a meeting with Brazil prior to the next International Coffee Organization session in September did not affect the market as the news was expected. Operators are watching the cash market for indications of roaster interest or producer selling. Reuter
ENVIRONMENTAL POWER <POWR> GETS CONTRACTS|Environmental Power Corp said it has signed a 50 year contract to sell power from its 12-megawatt Allegheny River Lock and Dam Number Seven Project near Kittanning, Pa., to Allegheny Power System Inc <AYP>. The company said the project is expected to produce an average electrical output of 55 mln kilowatt hours when completed and is contingent on Environmental obtaining a Federal Energy Regulatory Commission license. The company said it has also signed a 15-year contract to sell all power to be generated by 2.6 megawatt hydroelectric project at Falls Lake Dame near Raleigh, N.C., to Carolina Power and Light Co <CPL>. The average expected annual electrical output is 11 mln kilowatt hours. Reuter
INTERNATIONAL CREDIT HIGHLIGHTS - APRIL 7|Belgium is launching a euro-commercial paper program for an unlimited amount with the issuance planned immediately after signing in mid-May, First Chicago Ltd said as arranger. London - Colombia is in the process of arranging two co-financings for projects in the electrical sector, director of public credit Mauricio Cabrera said. Abidjan - The African Development Bank said it increased its lending by 42.1 pct last year to 1.64 billion dlrs from 1.15 billion dlrs in 1985. Manila - The Asian Development Bank said it had approved two loans amounting to 75.7 mln dlrs for agricultural projects in Bangladesh and Nepal. Washington - Federal Reserve Board chairman Paul Volcker said debtor nations have made much progress in laying the groundwork for economic growth, but a solution to world debt difficulties was endangered by inaction on new financing. Paris - The French treasury has decided to repay 680 mln francs of debt issued before 1950, the Finance ministry said. REUTER
ASIAN DOLLAR DEPOSITS OPEN QUIETLY MIXED|Asian dollar deposit rates opened narrowly mixed in quiet trading, dealers said. They said the market ignored dollar supportive comments by U.S. Federal Reserve Chairman Paul Volcker and Japanese Finance Minsiter Kiichi Miyazawa. The U.S. Federal Reserve's addition of temporary reserves via two-day system repurchase agreements when fed funds were trading at 6-1/8 pct also had little effect on the market. Short-dates were unchanged to slightly higher underpinned by a steady U.S. Fed funds rate. Overnight was little changed at 6-5/16 6-3/16 and week-fixed rose 1/16 point to 6-3/8 6-1/4. Dealers said most operators refrained from taking large positions as they await more news from the expected currency talks in Washington starting today. Among period rates, one month eased 1/16 point to 6-7/16 6-5/16 pct, three and six months were unchanged at 6-9/16 6-7/16 and 6-11/16 6-9/16 pct, respectively while one year gaind 1/16 point to 6-7/8 6-3/4 pct. Asian dollar CD rates opened mixed in quiet trading. One month slipped to 6.40/30 pct from 6.45/35 yesterday, three months was steady at 6.55/45 pct but six months rose slightly to 6.70/60 pct from 6.65/55. REUTER
SCRAP COPPER QUOTED AT NOMINAL 51.50 CENTS|Dealers quoted No.2 scrap copper at a nominal 51.50 cents up 0.50 cents from Monday. Refiners were willing to pay some 2.00 cents above that level for premium lots of scrap. Reuter
HELEN OF TROY CORP <HELE> 4TH QTR FEB 28 NET|Shr 17 cts vs 13 cts Net 598,000 vs 392,000 Sales 10.2 mln vs 7,474,000 Avg shrs 3,432,000 vs 3,045,000 Year Oper shr profit 1.05 dlrs vs loss 47 cts Oper net profit 3,498,000 vs loss 1,427,000 Sales 52.2 mln vs 40.8 mln Avg shrs 3,320,000 vs 3,060,000 NOTE: Latest year net excludes 782,000 dlr tax credit. Reuter
SEEQ TECHNOLOGY INC <SEEQ> 2ND QTR MARCH 31|Shr profit eight cts vs loss 1.84 dlrs Net profit 785,000 vs loss 4,279,000 Revs 10.4 mln vs 8,464,000 Avg shrs 9,649,000 vs 2,664,000 Six Mths Shr loss nine cts vs loss 4.09 dlrs Net loss 262,000 vs loss 9,689,000 Revs 19.2 mln vs 15.6 mln Avg shrs 2,874,000 vs 2,660,000 Reuter
ITT <ITT> TO REDEEM THREE PREFERRED ISSUES|ITT Corp said it will redeem the outstanding shares of its four-dlr convertible series H, 4.50-dlr convertible series I and four-dlr convertible series J cumulative preferred stock. ITT said the shares will be redeemed for 100 dlrs a share plus dividend accrued through June eight, the redemption date. ITT said the right to convert the series H issue will end June one, while the right to convert the series I and J issues will end June eight. ITT has about 124,000 shares of series H outstanding, 839,000 shares of series I and 142,000 shares of series J. Earlier today the company said its board authorized the buy back of up to 10 mln shares of common and preferred stock. Reuter
JOLIET HOGS UP 1.00 DLR - USDA|barrow and gilt prices rose 1.00 dlr in moderately active trade, usda said. us 1-3 230-240 lbs 51.50. sows - none. Reuter
U.S.-SDR RATE MOVES TO 1.28435|The International Monetary Fund said the exchange value of the U.S. dollar against the SDR was 1.28435 compared with 1.28224 yesterday and 1.06584 on July 1, 1974. Other currency values against the SDR (July 1, 1974 rates in parentheses) were: Deutsche Mark 2.33983 (3.06809) French Franc 7.78573 (5.82126) Japanese Yen 186.937 (343.773) Pound Sterling 0.792907 (0.505474) Australian Dlr 1.81329 (0.809889) Aust Schilling 16.4384 (22.0097) Belgian Franc 48.4585 (45.9249) Canadian Dlr 1.67646 (1.16295) Danish Krone 8.82862 (7.23304) Ecuadoran Sucre N/A (30.1503) Indonesian Rupiah 2111.47 (501.291) Iranian Rial 92.3000 (81.6734) Italian Lira N/A (779.746) Kuwait Dinar 0.350461 (0.351685) Dutch Guilder 2.64062 (3.20316) Norwegian Krone 8.75413 (6.59386) N/A--not available. Saudi Arab Riyal 4.80989 (4.25788) S.A. Rand 2.61578 (0.80200) Spanish Peseta 163.996 (69.0742) Swedish Kronor 8.14920 (5.31489) Swiss Franc 1.94130 (3.19548) U.A.E. Dirham 4.71485 (4.76057) Venezuelan Bolivar N/A (5.08749) S.A. Rand July 2, Australian Dlr Aug 1, Canadian Dlr July 2, Indonesian Rupiah July 19, Venezuelan Bolivar Aug 27, Iranian Rial July 22, Saudi Riyal Aug 9, all 1974. Swiss Franc Sept 16, 1975. N/A--not available Reuter
LOWE'S <LOW> TO SELL DURAKON <DRKN> LINER|Durakon Industries Inc said its All Star Liner will be sold as the exclusive pickup truckbed liner in Lowe's Cos Inc's 300 retail home center outlets in the Southeastern U.S. Reuter
SPARTECH <SPTN> REVERSE STOCK SPLIT APPROVED|Spartech Corp said shareholders at the annual meeting approved a reverse stock split of the common stock, on a one-for-five basis. The company said the split was necessary in preparation for an offering of 25 mln dlrs in convertible subordinated debentures, expected to be made soon through Kidder, Peabody and Co. It said the new common stock will begin trading April 8 under the symbol "SPTNd." Separately, Spartech said its board appointed Bradley Buechler as president, filling a vacancy. It said Lawrence Powers remains as chairman. Buechler, prior to his promotion, was executive vice president and chief operating officer. He will retain his duties as chief operating officer. Reuter
BOND CORP STILL CONSIDERING ATLAS MINING BAIL-OUT|Bond Corp Holdings Ltd <BONA.S> and Atlas Consolidated Mining and Development Corp <ATLC.MN> are still holding talks on a bail-out package for the troubled mining firm, an Atlas statement said. Atlas, the Philippines' biggest copper producer, said it had been hit by depressed world copper prices. It reported a net loss of 976.38 mln pesos in the year ending December 1986, compared with a net loss of 1.53 billion in 1985. The company said it had been able to cut its losses because its scaled-down copper operations in the central island of Cebu started in the second half of 1986. Atlas said negotiations were continuing on the acquisition by Bond of the company's existing bank loans and their restructuring into a gold loan. A memorandum of understanding signed by the two sides in October last year said Bond would acquire Atlas' total loans of 275 mln dlrs, to be repaid by the mining company in gold. Atlas said the two sides were also discussing equity infusion into Atlas and the creation of a development fund for further exploration and development of the company's gold properties in the central province of Masbate. Wilson Banks, general manager of <Bond Corp International Ltd> in Hong Kong, told Reuters the Atlas statement on the negotiations was "reasonably accurate." Banks said Bond Corp was seriously considering several investments in the Philippines but did not give details. In its statement, Atlas said development of the pre-World War Two underground mines in Masbate had been accelerated and the ore tonnage had increased, extending the operation's life at least until 1993. REUTER
U.K. MONEY MARKET DEFICIT FORECAST AT 250 MLN STG|The Bank of England said it forecast a shortage of around 250 mln stg in the money market today. Among the main factors affecting liquidity, bills maturing in official hands and the take-up of treasury bills will drain some 505 mln stg, while bills for repurchase by the market will remove around 194 mln. In addition, a rise in note circulation and bankers' balances below target will each drain around 110 mln stg. Partly offsetting these outflows, exchequer transactions will add some 690 mln stg to the system today. REUTER
CHICAGO DELIVERABLE SOYBEAN STOCKS|The CFTC reported the following stocks of soybeans in Chicago as of Friday, April 3 , deliverable against Chicago Board of Trade futures in 000's bushels - CURRENT WEEK YEAR WEEK AGO AGO DEL GRADES 254 236 10629 NON-DEL GRADES/UNGRADED 77 78 581 CCC STOCKS 10022 10022 2373 TOTAL SOYBEAN STOCKS 10353 10336 13583 Reuter
KANSAS CITY SHIPMENTS AND RECEIPTS|in bushels Truck Receipts Wheat 73,684 Corn 17,979 Grain Sorghum 4,391 Soybns 72,180 Truck Shipments Corn 8,000 Barge Shipments - None Reuter
AMERICAN DYNAMICS <AMDC> TO SELL 51 PCT STAKE|American Dynamics Corp and <Meridian Reserve Inc> said they signed a definitive agreement under which Meridian will buy 81.9 mln shares, or 51 pct, of American Dynamics' common stock. Under terms of the agreement, Santa Ana, Calif.-based Meridian said it will pay Columbus-based American Dynamics one mln dlrs in cash and notes over five years and about 500,000 shares of its common stock. Meridian said it has the option to issue an additional 1,500,000 shares of its common over the next two years in payment of certain of the notes. Meridian, an oil and gas company whose operations are primarily in Oklahoma, said the acquisition will increase its its consolidated assets to 30 mln dlrs and its contractually committed gas reserves to more than 40 mln dlrs at discounted present value. American Dynamics is engaged in gas gathering, transmission and liquids extraction, also in Oklahoma. The companies said they have five extracting plants and about 525 miles of transmission lines in five adjoining Oklahoma counties. Reuter
DUTCH PROPOSE STRICT INSIDER TRADING LAW|The ministries of Finance and Justice said they have presented parliament with a new law to make insider trading in shares a criminal offence. A year ago, the Amsterdam Bourse announced its own rules, effective from January 1, 1987, aimed at preventing unfair use of inside information in the trading shares listed on the exchange, but said back-up legislation was essential. The proposed law calls for up to two years imprisonment, fines of up to 100,000 guilders for an individual and one million guilders for a company, and repayment to the state of profits made from insider dealing. The proposed fines are higher than any currently in force in Dutch law, a joint statement from the two ministries said. The draft law sets no limit to the illegal profits to be repaid. The amount would be determined by a court. A Finance Ministry spokesman said the time-frame for the introduction of the new legislation depended entirely on its reception in Parliament. In the meantime the Bourse's Share Trading Association monitors business closely, frequently suspending or even rescinding dealings in a stock when price movements suggest that foreknowledge of a pending announcement is being exploited. REUTER
CCC SEED CREDIT GURANTEES FOR ALGERIA - USDA|The Commodity Credit Corporation (CCC) has authorized 2.0 mln dlrs in credit guarantees to cover sales of seeds for planting to Algeria, the U.S. Agriculture Department said. The department said the additional guarantees increase the cumulative fiscal year 1987 program for sales of U.S. agricultural products to Algeria to 466.0 mln dlrs. To be eligible under the new seed credit guarantees, all sales must be registered by September 30, 1987, and shipped by December 31, 1987, USDA said. Reuter
ENRO HOLDING BUYS ENRO SHIRT AND FOXCROFT|Enro Holding Corp said it acquired Enro Shirt Co and Foxcroft Ltd from Wilson Bros for 30 mln dlrs. Enro Holding is owned 50 pct by investors and 50 pct by management and others. The investor group bought 50 pct of the common equity and supplied five mln dlrs in mezzanine financing. Management bought the other 50 pct. Congress Financial Group supplied 28 mln dlrs in senior financing and the seller took back a note for 12.1 mln dlrs. Enro Shirt has annual sales of about 42 mln dlrs and Foxcroft has sales of about 13 mln dlrs. Reuter
WINNIPEG OILSEED FUTURES END UP, GRAINS MIXED|Winnipeg oilseed futures closed higher in sympathy with strength in the Chicago soybean complex, with grains mixed in quiet trade. Rapeseed futures ended with gains of 2.60 to 3.30 dlrs per tonne, with flaxseed up 4.90 to 4.00 dlrs. Commission house and commercial short-covering overcame moderate elevator house hedge selling in both oilseeds, traders said. Continued Japanese crusher export buying added support to rapeseed, with locals net buyers in flaxseed. Rye finished unchanged to up 0.10 dlr, with feed grains ranging from down 0.60 dlr in May wheat to up 0.30 in new December barley. Strength in new crop Chicago corn futures kept deferreds here strong relative to nearbys. May and July oats again set new contract lows. Reuter
BANK OF JAPAN INTERVENES SOON AFTER TOKYO OPENING|The Bank of Japan bought a small amount of dollars shortly after the opening at around 145.30 yen, dealers said. The central bank intervened as a medium-sized trading house sold dollars, putting pressure on the U.S. Currency, they said. The dollar was also supported by a major electrical consumer goods company, which was a speculative dollar buyer at around 145.25 yen, they added. The dollar opened at 145.33 yen against 145.60/70 in New York and 145.25 at the close here yesterday. REUTER
YEN BOND FUTURES HIT RECORD HIGH IN EARLY TRADE|Yen bond futures prices hit record highs in early trade in response to the early jump in the cash bond market on speculative purchases by brokers, dealers said. Key June was 111.31 after hitting a record high earlier of 111.48, against an opening of 111.02. It closed at 110.68 yesterday. September was 110.10, below the earlier record of 110.15 and against a 109.40 close. The rally was triggered by a fall in short-term interest rates and heavy broker speculation in expectation of more end-investor purchases. But prices eased towards end-morning as the cash bond market fell on profit taking, dealers said. The yen unconditional call rate was 3.5000 pct today, down from 3.6250 pct yesterday. The Bank of Japan sold a total of 800 billion yen worth of financial bills from its holdings to help absorb a projected money market surplus of 1,300 billion yen due to allocation of government revenues to local governments and public entities and the return of bank notes. Dealers were divided about whether expectations of another discount rate cut have been built into the market. Some dealers said it is too early for the market to discount a rate cut and projected a possible sudden market retreat. REUTER
PACIFIC LIGHTING CORP <PLT> QTLY DIVIDEND|Shr 87 cts vs 87 cts prior qtr Pay May 15 Record April 20 Reuter
U.K. GRAIN FUTURES CLOSE STEADY TO FIRMER|Barley futures closed 0.15 to 0.05 stg per tonne higher and wheat 0.60 to 0.20 firmer. Barley turnover was light at 47 lots, including 24 cross transactions, while the wheat volume totalled 197 lots, of which 81 were self trades. Traders said wheat futures continued to trade cautiously but old crop values moved higher on short covering interest with gains in physicals influencing sentiment. Barley showed smaller gains in lighter trading. REUTER
MIDSESSION FEEDER CATTLE FUTURES MIXED|Feeder Cattle futures traded 0.02 cent lower to 0.25 higher in light midsession dealings. All but distant March posted a new season's high on general demand before profit-taking developed. Spreading of long deferred cattle futures/short May feeder cattle added to the pressure in May, traders said. Although profit-taking weighed on prices, strong fundamentals continued to provide support. Cash feeder cattle remain strong on limited supplies and continued gains in live cattle futures prompted spillover demand. The average feeder steer price, USFSP, rose 10 cents in the past two reporting days, traders noted. Reuter
PERCEPTRONICS <PERC> UNIT GETS NAVY CONTRACT|Perceptronics Inc said its FAAC Perceptronics subsidiary received a 2.7 mln dlr contract from the Naval Air Development Center in Warminster, Pa. The contract calls for the company to develop software for Naval aircraft training simulators and F-14D weapons systems analysis, Perceptronics said. Reuter
JAPAN'S LDP URGES MORE IMPORTS OF 12 FARM ITEMS|The ruling Liberal Democratic Party (LDP) has proposed expanding imports of 12 farm products named in a U.S. Complaint against Japan to the General Agreement on Tariffs and Trade last year, an LDP official said. The products include fruit juices, purees and pulp, some tomato products, peanuts, prepared beef products and beans. The proposal will be used as the basis for a more detailed LDP economic package to cut the trade surplus with the U.S. The party is expected to formalise the package before April 19, when LDP General Council Chairman Shintaro Abe visits Washington. Reuter
WESTPAC BANKING ISSUES 50 MLN AUSTRALIAN DLR BOND|Westpac Banking Corporation is issuing a 50 mln Australian dlr eurobond due May 6, 1990 paying 14-1/2 pct and priced at 101-1/4 pct, lead manager Deutsche Bank Capital Markets said. The non-callable bond is available in denominations of 1,000 and 10,000 Australian dlrs and will be listed in Luxembourg. The selling concession is one pct, while management and underwriting combined pays 1/2 pct. The payment date is May 6. REUTER
LEVITT <LVT> FILES FOR DEBENTURE OFFERING|Levitt Corp said it filed with the Securities and Exchange Commission a registration statement covering a 25 mln dlr issue of convertible subordinated debentures due 2012. Proceeds from the offering will repay the company's debt and will be used for general corporate purposes. Levitt designs, builds and sells single-family homes and has recently begun a number of new construction projects,the company added. Bear, Stearns and Co and Merrill Lynch Capital Markets have tentatively been named as underwriters. Reuter
RAYTHEON <RTN> RECEIVES 37.5 MLN DLR CONTRACT|Raytheon Co said it was awarded a 37.5 mln Navy contract to provide engineering and technical services for production of the standard Missle II program. This award provides for engineering support to the 230-missle second source production contract currently under way at Raytheon's missile systems divsion facility, the company said. Reuter
HOUSE COMMITTEE SLASHES "STAR WARS" FUNDING|The House Armed Services Committee slashed President Reagan's funding request for the Strategic Defense Initiative (SDI), approving 1.7 billion dlrs less than he had proposed for the anti-missile program. The committee, during its consideration of the 1988 defense authorization bill, also cut by more than half Reagan's request for a rail system for strategic missiles. The proposals must be adopted by the full House and Senate before becoming law. The committee approved 3.5 billion dlrs for SDI, a land- and space-based anti-missile defense program commonly known as "Star Wars." The amount was 1.7 billion dlrs less than the administration request of 5.2 billion dlrs. The Reagan administration has requested a total of 312 billion dlrs for defense in 1988, but congressional leaders have said that will be cut as part of a budget-trimming effort to reduce the huge federal deficit. In other action today, the committee approved 250 mln dlrs for a rail system for inter-continental ballistic missiles, but did not specify which missile system. Supporters have said missiles on such a rail network would be less vulernable to attack than those in fixed underground silos. The administration requested 590 mln dlrs specifically for a rail-mobile system for the 10-warhead MX missile. But many congressmen, including House Armed Services Chairman Les Aspin, a Wisconsin Democrat, favor a smaller mobile missile dubbed the "Midgetman." Reuter
S. AFRICA MINES BODY SEES MAY DAY WORK STOPPAGE|Negotiations between mining companies and the National Union of Mineworkers are foundering and mines could face a May Day work stoppage, the Chamber of Mines said. It said the union had called off talks on a specific issue, the introduction of a Labour Day on May 1. The union refused a request to give advance notification of the names of workers who would be working on May 1 rather than taking the option of a paid holiday, the Chamber said. It said mining companies wanted advance notice in order to plan their operations. "The union is adamant only employees who wish to work on Labour Day should notify management," the Chamber said. "This raises the prospect that the mines will once again face stay-away action on May 1 and that the employees who do not work will once again forfeit pay." It said the union accepted all the proposals except giving advance notification for May 1. It said miners had been offered a full paid holiday on May 1 or a premium of six pct of their basic monthly pay for working that day. REUTER
