SIOUX FALLS HOGS OPEN UP 1.50 DLR - PRIVATE|Hog prices opened 1.50 dlr higher, private sources said. Top 52.00 dlrs per cwt. Reuter
MALAYSIAN CRUDE PALM OIL FUTURES CLOSE OFF HIGHS|Malaysian crude palm oil futures closed off the day's highs on late speculative selling following talk that Pakistan passed on its tender for another 6,000 tonnes of RBD palm oil for second half April shipment after buying the same amount yesterday, dealers said. A higher overnight Chicago soyoil futures close had supported prices earlier, they said. June and July closed seven ringgit firmer at 746 and 742 ringgit per tonne respectively, while April and May were six and five ringgit higher at 747. Turnover rose to 448 lots from 135 yesterday. REUTER
REGAL PETROLEUM LTD <RPLO> YEAR|Shr loss nine cts Net loss 1.4 mln Revs 630,118 dlrs NOTE:Due to change in fiscal year, prior 4th qth and year cannot be presented on comparable basis. 1986 loss includes writedowns approximating 1.4 mln dlrs. Reuter
GRAIN RESERVE HOLDINGS BREAKDOWN|The U.S. Agriculture Department gave the following breakdown of grain remaining in the farmer-owned grain reserve as of April 1, in mln bushels, by reserve number -- I II III IV V VI Wheat nil nil 0.1 0.3 10.5 479.7 Corn -- -- -- 4.1 1,231.9 -- Sorghum-x -- -- -- 0.1 38.8 -- Barley -- -- -- 0.1 73.9 -- x - mln cwts. Note - USDA says above totals may not match total in reserve numbers. Reuter
BAHRAIN TREASURY BILLS YIELD AVERAGE 6.00 PCT|Bahrain's issue of two mln dinars worth of 91-day Treasury bills was allotted at an average price of 98.506 to yield an average 6.00 pct, a spokesman for the Bahrain Monetary Agency (BMA) said. Bids for the tender, held today, totalled about 4.65 mln dinars, the spokesman said. This week's average yield compares with 6.09 pct a week ago. Three-month interbank dinar deposits were quoted today at about 6.87/5.87 pct. The BMA spokesman said the next tender for two mln dinars of 91-day bills will be held on April 14. REUTER
N.Y. COCOA FUTURES QUIETLY LOWER EARLY|Cocoa futures were slightly lower early in quiet trading that was devoid of fundamental or technical features, traders said. Locals tracked the London cocoa market while many speculators chose to stay sidelined, waiting for the buffer stock manager to enter as a buyer, traders said. Origins and manufacturers were inactive, traders added. Cocoa for May delivery was off nine dlrs at 1,925 dlrs a tonne in a 1,928 to 1,922 dlr range. July was off 10 dlrs at 1,957 dlrs. Reuter
TREASURY BALANCES AT FED FELL ON APRIL 2|Treasury balances at the Federal Reserve fell on April 2 to 3.775 billion dlrs from 4.602 billion dlrs on the previous business day, the Treasury said in its latest budget statement. Balances in tax and loan note accounts fell to 6.493 billion dlrs from 6.495 billion dlrs on the same respective days. The Treasury's operating cash balance totaled 10.268 billion dlrs on April 2 compared with 11.097 billion dlrs on April 1. Reuter
LONG DEBT FUTURES TURN EASIER IN LIFFE MORNING|Long debt futures turned easier in late morning on the London International Financial Futures Exchange (LIFFE) as the dollar and sterling softened, dealers said. Long gilt futures had a good start with an opening range of 124-10/32 to 124-14/32 from 124-7/32 overnight as sentiment was boosted by two opinion polls showing a comfortable lead for the ruling Conservatives. They made a high of 124-19/32 but met chart resistance. A wave of professional sales hit the market at 1000 GMT, driving the price to a low of 124 after minor support at 124-6/32 was breached. This coincided with a dip in sterling to 72.2 on its trade- weighted index against 72.3 at the start and 72.4 last night. At the same time, the dollar was dipping below 145 yen after a night of pressure in the Far East. June T-bond futures made lows of 97-18/32 and settled around 97-21/32 at 1015 GMT after opening 8/32 easier at 97-26/32. Analysts said the markets remained cautious because of a series of talks in Washington this week between finance ministers of industrial countries. June Eurodollars started at 93.33, a technical support point, and eased to 93.30 or 0.06 below last night. Analysts said sterling contracts would have difficulty advancing beyond current levels if the market discounts the Conservative victory predicted by the opinion polls. Other difficulties were sterling's inability to breach the 2.96 mark ceiling, which could indicate the Bank of England is trying hard to keep a lid on the U.K. Currency. Also, market talk of a further base rate cut has died down, although another cut was virtually discounted by mid-March. June short sterling futures were little changed in early trading from last night's 90.78 but slipped to a low of 90.73 by late morning. Interbank interest rates were unchanged. June FT-SE 100 futures saw an opening range of 204 to 203.70 in line with last night's 203.80 but made a low of 202.20 late morning. The underlying index opened only slightly weaker and losses extended to 11 points by 1030 GMT. Long gilt options featured 465 June calls at 125, 127 at 130 with 118 June puts at 122 and 195 at 126. REUTER
M/A-COM <MAI> WINS FORD <F> CONTRACT|M/A-Com Inc said it won a major contract from Ford Motor Co to provide a corporate switching network. The value of the contract, awarded to M/A-Com's telecommunications unit in Germantown, Md., was not disclosed. Reuter
MITSUBISHI REPORTS HIGHER U.S. MARCH SALES|The Mitsubishi Motor Sales America Inc unit of Mitsubishi Motor Corp said domestic car sales during March rose to 6,403 from 4,089 a year earlier and year-to date car sales were up to 14,071 from 12,937 last year. Truck sales rose to 3,800 during the month from 2,526 last year and year-to-date sales increased to 11,126 from 6,520, Mitsubishi said. Reuter
ZZ ZD|April 7 N.Z. Dlr....0.5698/05 Aust Dlr....0.7076/81 U.K. Stg....1.6178/88 REUTER
PARIS CLUB AGREES NEW AFRICAN DEBT INITIATIVE|Western creditor governments have reached agreement in principle on new proposals for easing the debt burden of sub-Saharan African countries, British Chancellor of the Exchequer Nigel Lawson said. He told journalists the accord, reached in the so-called Paris Club of western governments, calls for rescheduling the debts of sub-Saharan African countries over very long periods and on very favourable terms. The proposals will be put forward for discussion at a meeting of the International Monetary Fund/World Bank Development Committee in Washington next week, he said. Lawson said that under the proposals countries could have 15 or 20 years to repay their debts along with have a grace period. But he added the favourable terms would not be offered indiscriminately to all nations in the region but granted on a case-by-case basis. The Paris Club groups Western governments -- as opposed to commercial banks -- which are owed money by poorer nations. Lawson was speaking after an informal gathering of European Community finance ministers and central bankers held to prepare for discussions on international monetary issues and Third World debt at next week's spring meetings of the IMF and World Bank. French Finance Minister Edouard Balladur said he had insisted at the gathering that developed countries take adequate account of the problems facing poorer nations that were trying to put their ailing economies in order. He told journalists he would be unveiling new proposals for dealing with the Third World debt problem in Washington. He declined to give details but Belgian Finance Minister Mark Eyskens, who hosted the talks, indicated that Balladur's proposals involved giving a greater role to a World Bank fund used to compensate developing countries for falls in the prices of their main commodities. "The French ideas got a very sympathetic welcome," Eyskens told a news conference. He said the European Community felt a new IMF (International Monetary Fund) report which forecasts inflation-adjusted economic growth of just 2.5 pct in the industrialised world this year, compared with 3.1 pct expected last autumn, was slightly too pessimistic. Many economists believe industrialised countries need to grow by at least three pct a year if the world debt is to be brought under control. Eyskens added the Community wanted to give "certain nuances" to the IMF report that would be constructive for dealing with the Third World debt problem. However, Italian sources quoted Italian Treasury Minister Giovanni Goria as calling it scandalous that the meeting here did not include a discussion of what he called the problem of falling world demand. He complained that West Germany was refusing to do enough to boost demand while the United States, suffering from a massive trade deficit, was unable to do anything in this direction. REUTER
U.K. INTERVENTION WHEAT SOLD TO HOME MARKET|A total of 14,685 tonnes of British intervention feed wheat were sold at today's tender for the home market, the Home Grown Cereals Authority said. Bids amounted to 19,115 tonnes against offerings of 31,528. Prices paid were at, or above, the prevailing intervention feed wheat price of 120.71 stg per tonne. Grain traders said a large part of the tonnage on offer was in stores, which would mean high transport costs to deficient areas. The European Commission recently made available 70,000 tonnes for next week's tender. Reuter
ARGENTINE GRAIN BELT WEATHER REPORT|ARGENTINE GRAIN BELT TEMPERATURES (CENTIGRADE) AND RAIN (MM) IN THE 24 HOURS TO 12.00 GMT WERE: ...............MAX TEMP..MIN TEMP..RAINFALL BUENOS AIRES.......27.......21............4 BAHIA BLANCA.......29.......16............0 TRES ARROYOS.......28.......16............0 TANDIL.............--.......15............5 JUNIN..............29.......18............5 SANTA ROSA.........--.......--...........-- CORDOBA............30.......17............0 SANTA FE...........--.......22............0 REUTER
U.S. CABLE TV CREDIT UNLIKELY TO IMPROVE, SAYS S/P|Standard and Poor's Corp said that the credit quality of most U.S. cable television companies is unlikely to improve in the near term. S and P said that after two years and many delays and disappointments, the cable television industry has firmly established a net cash generating position. However, rather than using their improved position to decrease the leverage of current capital structures, the companies' cash flows are being fully leveraged to finance a wave of consolidations, S and P said. Many cable television companies exhibit greater financial risk because of their asset growth aspirations and debt-financed consolidation. That delays a lower risk profile for many of them, Standard and Poor's said. The acquisition and financial growth policies of many company executives heavily influenced the ratings outlook. Citing aggressive capital structures, acquisitions and cash flow coverages of interest expense of between 1.0 and 1.5 times, S and P noted that the companies are more debt intensive now than in their building phase. These factors keep their ratings at speculative grades, the agency concluded. Reuter
PROPOSED OFFERINGS RECENTLY FILED WITH THE SEC|The following proposed securities offerings were filed recently with the Securities and Exchange Commission: Uno Restaurant Corp - Initial public offering of one mln shares of common stock, including 250,000 by current holders, at an estimated eight to nine dlrs each, through A.G. Edwards and Sons Inc. Federal Express Corp <FDX> - Offering of 200 mln dlrs of senior debentures due 2017 through Kidder, Peabody and Co Inc. Reuter
SINGAPORE STOCKS EXPECTED TO CONTINUE STRONG TREND|The Stock Exchange of Singapore (SES) will likely be used to raise more than 1.5 billion dlrs in 1987, continuing a long-term bullish trend that began last year when about the same amount was tapped. Stock analysts and economists said the trend will be helped by low interest rates and the government's plan to sell 380 mln dlrs worth of shares in state enterprises each year for the next 10 years, which should attract foreign interest. One foreign analyst said international fund managers are increasingly attracted to Asian markets like Singapore. He said uncertainty over Hong Kong's future had helped the flow of funds to Singapore over the last eight to nine months. Trade friction between Washington and Tokyo and the high value of the yen had also diverted a trickle of funds from Japan. But he added, "A slight trickle will have a large impact on the local exchange." Economists said the inflow from foreign institutions is difficult to estimate but it is increasing as the local recession bottoms out with the help of reduced corporate taxes cuts and of lower wage costs. Tan Soo Nan, director of the Development Bank of Singapore Securities Ltd and a member of the exchange, said he expects Singapore companies alone to tap around one billion dlrs this year, but he warned there were some short-term risks. Corporate earnings in fiscal 1987 ending March fell short of an expected 20 pct increase over 1986 and a major failure would dampen sentiment, he said. He added the SES should admit only companies able to sustain their earnings levels. But one foreign analyst said any slowing of activity would be temporary and many investors are waiting for the results of elections in Malaysia later this month. On the whole, Tan said, the long-term trend remains bullish because of the economic recovery, the high growth potential for the Asian Pacific region and the liberalisation of the Toyko financial market. Tan said the introduction of the Stock Exchange of Singapore Dealing and Quotation System in January and the new government securities market was in keeping with the global trend towards debt securitisation and financial deregulation. Singapore's economic recovery will be more broad-based in 1987 and the exchange's strategy should be to build up expertise in risk and fund management, he said. REUTER
COLOMBIAN INFLATION STABLE AT AROUND 20 PCT|Colombia's cost of living index rose 2.71 pct in March, after a 2.03 pct increase in February and a 2.21 pct rise in March 1986, the government statistics institute said. The result brought year-on-year inflation to 20.36 pct compared with 22.65 pct at end-March 1986 and 19.77 pct for the year ending February 1987. The government has predicted that inflation this year would be slightly lower than in 1986 when it reached 20.9 pct. REUTER
OKI ELECTRIC STUDIES IMPORT OF U.S. CAR PHONES|<Oki Electric Industry Co Ltd> may import car telephones made by its 100 pct U.S. Subsidiary, <Oki America Inc>, for sale in Japan, an Oki spokesman said. The firm would like to import the car phones, which are made according to a system developed jointly by Motorola Inc <MOT> of the U.S. And Oki Electric, the spokesman said. A final decision will hinge on obtaining approval from Japan's Post and Telecommunications Ministry and whether or not it is feasible to convert the models to meet Japanese specifications, he said. REUTER
U.S. AGRICULTURE LOAN REPORT|The U.S. Agriculture Department released its loan activity report, as of April 1, in mln bushels, with previous week figures underneath.-- 1986 Crops -- Wheat Corn Soybean Under Loan 505.6 4,612.1 321.3 503.9 4,583.0 320.7 Redeemed 206.4 1,357.3 46.1 195.2 1,256.0 42.3 Acquired by CCC 0.2 1.0 0.1 0.1 1.0 0.1 Reserve nil nil n/a nil nil n/a Outstanding 299.0 3,253.8 275.1 308.6 3,326.9 278.3 N/A - not eligible for reserve. 1985 Crops Wheat Corn Soybeans Total Loans 840.8 3,130.1 516.8 840.6 3,129.2 516.8 Redeemed 147.5 590.9 205.8 146.2 587.0 205.6 Acquired by CCC 462.1 1,158.0 260.0 460.7 1,139.6 257.5 Grain Reserve 180.0 786.0 n/a 179.5 774.0 n/a Outstanding 51.2 595.2 51.0 54.2 628.6 53.7 N/A-Not eligible for reserve. 1984 crops Wheat Corn Soybeans Total Loans 284.5 1,097.3 278.3 284.5 1,097.3 278.3 Redeemed 98.4 443.1 126.5 98.2 443.0 126.5 Acquired by CCC 86.8 258.4 150.5 86.8 258.4 150.5 Grain Reserve 98.4 383.8 N/A 98.6 383.8 N/A Outstanding 0.9 12.0 1.3 0.9 12.1 1.3 1985 Crops Cotton-x Rice-y Sorghum-y Total Loans 7,329.7 75.0 200.8 7,329.6 75.0 200.8 Redeemed 6,406.5 56.1 19.5 6,339.3 51.0 19.1 Acquired by CCC 117.1 16.2 136.4 113.8 16.2 135.5 Grain Reserve nil nil 24.4 nil nil 24.1 Outstanding 806.1 2.7 20.5 876.5 7.8 22.1 x - in thousand running bales. y - in mln cwts 1986 Crops (in mln bushels) Cotton-X Rice-Y Sorghum-Y Under Loan 6,016.3 129.5 216.6 5,995.7 129.0 216.0 Redeemed 1,769.7 67.7 37.6 1,635.1 66.3 36.2 Acquired by CCC nil nil nil nil nil nil Reserve N/A N/A nil N/A N/A nil Outstanding 4,246.6 61.8 179.0 4,360.6 62.7 179.8 N/A - Not eligible for reserve. X - in thousand running bales. Y - in mln cwt 1984 Crops Cotton-x Rice-y Sorghum-y Total Loans 2,956.8 57.8 36.4 2,956.8 57.8 36.4 Redeemed 2,273.4 27.0 15.1 2,257.8 27.0 15.1 Acquired by CCC 642.8 30.8 13.2 642.2 30.8 13.2 Grain Reserve nil nil 8.0 nil nil 8.0 Outstanding 40.6 nil 0.1 56.8 nil 0.1 x - in thousand running bales. y - in mln cwts 1985 Crops (In mln bushels) Barley Oats Rye Under Loan 158.4 5.6 4.1 158.3 5.6 4.1 Redeemed 50.7 1.7 0.9 50.4 1.7 0.8 Acquired by CCC 45.5 1.5 2.5 44.9 1.5 2.5 Reserve 42.6 1.3 nil 41.3 1.3 nil Outstanding 19.6 1.1 0.7 20.7 1.1 0.8 1986 Crops (In mln bushels) Barley Oats Rye Under Loan 162.3 7.7 5.7 162.0 7.7 5.7 Redeemed 64.1 3.1 1.7 61.6 2.8 1.7 Acquired by CCC nil nil nil nil nil nil Reserve nil nil nil nil nil nil Outstanding 98.2 4.6 4.0 100.4 4.9 4.0 1984 Crops Barley Oats Rye Under Loan 56.9 3.2 10.1 56.9 3.2 10.1 Redeemed 14.7 2.1 0.2 14.6 2.1 0.2 Acquired by CCC 20.0 0.4 9.9 20.0 0.4 9.9 Reserve 22.0 0.7 nil 22.1 0.7 nil Outstanding 0.2 nil nil 0.2 nil nil Reuter
EGYPTIAN CENTRAL BANK DOLLAR RATE UNCHANGED|Egypt's Central Bak left the dollar rate for Commercial banks for April 8 unchanged at 1.353/67 pounds. REUTER
OMAHA CATTLE OPEN STEADY/UP 0.25 DLR - PRIVATE|Cattle prices opened steady to 0.25 dlr higher, private sources said. Steer top 68.00 and Heifers 66.00 dlrs. Reuter
UNISYS <UIS> OFFERS NEW MAINFRAME MODELS|Unisys Corp said it is offering eight new models of its A15 large-scale mainframe computer. The new models improve the overall system performance by an average 20 pct, the computer maker said. Memory capacity on four of the models is doubled, and is increased by 50 pct on the A12 mainframe. Unisys said prices for the new models range from 2.9 mln dlrs for the single processor A-15FX to 8.4 mln dlrs for an A-15NX, which has four processors. The new computer systems, which encorporate the "Master Control Program/Advanced Systems" operating system, will compete with other large mainframes, including International Business Machines Corp's <IBM> IBM 3090, Unisys said. Unisys' A-12 computer is a less powerful, smaller version of the A-15. The A-12 is a "lower-end model, almost an entry-level machine," said a Unisys spokesman. The price of the machine starts at 1.4 mln dlrs. Reuter
PORTUGUESE GOVERNMENT FALLS|Portugal's minority centre-right government was ousted in a parliamentary censure vote backed by three left-wing opposition parties. The Socialist Party (PS), Democratic Renewal Party (PRD) and Communist Party (PCP), who held 140 of the 250 parliament seats, voted for the motion against the Social Democratic Party (PSD) government and their Christian Democrat allies. President Mario Soares, who returns from a visit to Brazil on Sunday, was now faced with the task of either forming a new government or calling an early general election. Reuter
PYRAMID TECHNOLOGY <PYRD>, ORACLE <ORCL> IN DEAL|Pyramid Technology Corp said it has reached an agreement to sell Oracle Corp's Oracle database and <Relational Technology Inc's> Ingres database through the Pyramid direct sales force and to original equipment manufactures and value-added resellers. The company said it will also develop separate joint engineering projects with Oracle and Relational to tailor the two databases to use Pyramid's functional parallel system architecture to imporove database performance. It said it has also reached an agreement for <Information Builders'> Focus language and database management system to become available on Pyramid Technology superminicomputer systems. Reuter
U.S. BUSINESS LOANS FELL 822 MLN DLRS|Business loans on the books of major U.S. banks, excluding acceptances, fell 822 mln dlrs to 277.94 billion dlrs in the week ended March 25, the Federal Reserve Board said. The Fed said that business loans including acceptances fell 971 mln dlrs to 280.22 billion dlrs. Reuter
ZENCHIKU ISSUES 40 MLN DLR EQUITY WARRANT BOND|Zenchiku Co Ltd is issuing a 40 mln dlr equity warrant eurobond due April 30, 1992 paying an indicated coupon of 2-1/4 pct and priced at par, lead manager Daiwa Europe Ltd said. Final terms will be fixed on April 13 and the non-callable issue is available in denominations of 5,000 dlrs. It is guaranteed by Mitsui Bank Ltd. The selling concession is 1-1/2 pct while management and underwriting combined pays 3/4 pct. The payment date is April 30 and the issue will be listed in Luxembourg. The warrants are exercisable from May 18, 1987 until April 10, 1992. REUTER
DOLLAR STARTS LOWER IN QUIET PARIS|The dollar started lower after an easier close in the Far East on selling amid continuing bearish sentiment and despite Bank of Japan intervention, dealers said. But they said European markets were likely to be calm today, with the dollar remaining in a narrow trading range ahead of the Washington monetary talks. The dollar was quoted at an early 6.0565/90 francs after a late 6.0710/30 range here and close in New York at 6.0745/75. The mark was quoted at an early 332.72/75 francs per 100 against last night's late 332.70/72 range. REUTER
FED EXPECTED TO SET CUSTOMER REPURCHASES|The Federal Reserve is expected to intervene in the government securities market to supply temporary reserves indirectly via customer repurchase agreements, economists said. They said the Fed is expected to execute anywhere from 1.5-2.0 billion dlrs of customer repos to offset seasonal pressures on bank reserves. Federal funds, which averaged 6.20 pct yesterday, opened at 6-1/8 pct and remained there in early trading. Reuter
CBT SOYBEAN FUTURES EXPECTED STEADY TO EASIER|CBT soybean futures were expected to open steady, possibly easier on a disappointing weekly soybean export figure below the previous week and year ago levels and moderate country movement overnight, traders said. The outlook for increased Brazilian harvest pressure later this month and the settlement of the Brazilian seamen strike will add to the negative sentiment in old crop. ---- Brazil's soybean harvest was 24 pct complete by April 3, compared with an average of 36 pct, the Safras and Mercado newsletter said, with Rio Grande do Sul 10 pct and 17 pct respectively, Parana 55 and 63 pct respectively, Mato Grosso do Sul 30 and 36 pct, Mato Grosso 10 pct and NA, Goias 10 pct and NA and other states 25/30 and 36 pct respectively. Reuter
BRIERLEY UNIT ISSUES 100 MLN DLR EUROBOND|Brierley Investments Overseas NV is issuing a 100 mln dlr eurobond due April 30, 1992 paying 8-1/4 pct and priced at par, lead manager Banque Paribas Capital Markets said. The non-callable bond is available in denominations of 5,000 dlrs and will be listed in Luxembourg. The selling concession is 1-1/4 pct while management and underwriting combined pays 5/8 pct. The issue is guaranteed by Brierley Investments Ltd. Payment date is April 30. REUTER
KANEB ENERGY <KEP> SAYS JURY RULES FOR IT|Kaneb Energy Partners Ltd, 82 pct owned by Kaneb Services Inc <KAB>, said a juiry in Circuit Court of Tuscaloosa County, Ala., has ruled in its favor and that of Jim Walter Corp <JWC> against Sonat Inc <SNT> in a dispute over a natural gas sales contract. The company said the suit was filed seekiong to enforce Sonat's obligations under the contract to pay for methane gas produced by the Brookwood Coal Degasificiation Project in the Black Warrior Basin of Alabama, which is equally owned by Kaneb and Jim Walter. Kaneb said the jury awarded it and Jim Walter about 22 mln dlrs for required payments for deliveries through January 1987 plus interest through March 16 -- the full amount sought -- and rejected Sonat's counterclaim of fraud. It said the decision may be appealed. Reuter
GERMAN BONDS BARELY CHANGED IN QUIET PRE-BOURSE|Prices of public authority bonds were barely changed in quiet pre-bourse trading, with some foreign investors taking profits but others opening fresh positions. Dealers said long maturities fluctuated between gains and losses of around 10 pfennigs. Today's slight drop in the value of the dollar and yesterday's modest gains on U.S. Credit markets had little impact on business here. Domestic investors remained sidelined ahead of the G-7 meeting this week. Dealers said today's quietness was also a technical reaction to recent sharp gains. Mark eurobonds were little changed in thin trading. The six pct 1997 federal government loan stock fell 10 pfennigs to 103.20, 103.45. The 5-3/4 pct 1997 bond for the same address eased five pfennigs to 101.25, 101.50. Yields of mortgage and municipal paper eased one to two basis points in thin trading. 10-year yields fell to 6.26 pct from 6.28 and five-year yields declined to 5.13 pct from 5.15. In mark eurobonds, the 5-1/2 pct 1992 East Asiatic offer was unchanged at 98-1/4, 98-1/2. Ireland's 6-1/2 pct 1997 bond was steady at 98-1/2, 99. Syndication managers said one new issue could be launched during the European afternoon. REUTER
DOLLAR CLOSES LOWER IN TOKYO|The dollar closed lower on selling by speculators and by institutional investors hedging currency risks, dealers said. But the dollar's downward potential was limited by persistent Bank of Japan intervention throughout the day. Some dealers started to sell dollars on speculation that the Group of Seven meeting expected tomorrow in Washington is unlikely to produce any significant new measures to stabilize currencies, some dealers said. The dollar closed at 145.25 yen against 145.85/90 in New York and 146.00 at the close here yesterday. The dollar ended at 1.8205/15 marks against 1.8260/70 in New York. "The market consensus is that the G-7 meeting is unlikely to change present underlying bearish sentiment for the dollar and is likely just to reaffirm the February 22 Paris accord on currency stability," a manager at a Japanese bank said. The dollar decline seem to come to a halt near 145.00 yen after the Tokyo closing on shortcovering as many operators seem unwilling to hold large positions ahead of the G-7 meeting, some dealers said. The dollar ended at 1.8205/15 marks against 1.8260/70 in New York. +The market consensus is that a G-7 meeting is unlikely to change the underlying bearish sentiment for the dollar and is likely just to reaffirm the February 22 Paris accord on currency stability,+ a manager at a Japanese bank said. The dollar decline seemed to halt near 145.00 yen after the Tokyo close on shortcovering, as many operators seem unwilling to hold large positions ahead of the expected G-7 meeting, some dealers said. The market is closely watching for a probable meeting between U.S. Treasury Secretary James Baker and Japanese Finance Minister Kiichi Miyazawa later today ahead of the G-7 meeting, dealers said. Some dealers said mere reaffirmation of the Paris accord would fail to stop the dollar's decline against the yen unless the U.S. And Japan make progress in resolving trade and other economic friction. Japan is expected to explain to the U.S. The guidelines of the ruling Liberal Democratic Party's economic package to stimulate domestic demand, a senior party official said. Operators generally see the dollar as still likely to head downwards, probably sliding as low as 140.00 yen, despite the G-7 meeting, dealers said. The dollar ended at 1.5130/35 Swiss francs against 1.5180/90 in New York and sterling finished at 1.6205/15 dlrs against 1.6175/85. The firm tone of the pound is expected to remain for the time being due to bullish sentiment, mainly on speculation the ruling Conservative Party would retain power in expected general elections, although the Bank of England may intervene in the market, some dealers said. The Bank of Japan stepped into the market soon after the opening and continued to intervene in the market to buy dollars on a small-lot basis all day, dealers said. The mark/yen cross rate fell to 79.76 yen from 80.08 at the close here yesterday. Spot dollar/yen volume through brokers was 6.56 billion dlrs with a most actively traded rate of 145.55 yen compared with 146.10 here yesterday. REUTER
ATARI <ATC> CANCELS DOMESTIC DEBT OFFERING|Atari corp said it has canceled a planned 75 mln dlr domestic offering of convertible subordinated debentures in favor of an overseas offering. Yesterday, in London, lead underwriter PaineWebber Group Inc <PWJ> announced a planned offering of 75 mln dlrs of Atari convertible debentures due 2002 with an indicated coupon of five to 5-1/4 pct. Atari said the debentures will not be available for U.S. resal until at least 90 days after completion of the offering abroad. Reuter
PHILIPPINES APPROVES 80 MLN DLR DEBT CONVERSION|The Central Bank has approved the conversion of 80.7 mln dlrs worth of Philippine debt into equity in local projects under a debt-to-equity swap program started last August, Finance Minister Jaime Ongpin said. He told reporters the amount represented 57 transactions involving diversified investments. He said 90 applications to convert 316.7 mln dlrs of debt have so far been received by the Central Bank. Ongpin also said the International Finance Corp (IFC), a World Bank affiliate, would invest up to 12.5 mln dlrs in the First Philippine Capital Fund. The fund, to be launched jointly by New York investment house Shearson Lehman Brothers and IFC, was proposed by Ongpin during a trip to the United States in September. There was still no word on when the fund, designed to encourage private sector investment in the Philippines, would be launched. A telex from IFC to Ongpin said the IFC investment will consist of exchanging up to 12.5 mln dlrs face value of Philippine debt it holds. The capital fund and the Central Bank's debt conversion plan are both aimed at reducing the country's debt burden by enabling interested investors to buy government notes at a discount, repatriate these and convert them at full value in pesos. The proceeds will then be used to investing in local projects. The country's foreign debt now stands at 27.8 billion dlrs. REUTER
MARCH U.S. PURCHASING MANAGERS INDEX UP AT 53.9|The U.S. economy in March improved at a faster rate than in February, with the National Association of Purchasing Management's composite index rising to 53.9 pct from 51.9 pct, the NAPM said. The first quarter average for the index also was 53.9 pct. The NAPM said that, if this average were to continue for the rest of 1987, it would be consistent with real gross national product growth of about three pct. An index reading above 50 pct generally indicates that the economy is in an expanding phase. One below 50 pct implies a declining economy. The NAPM said the economic improvement was evident in all of the indicators in the index except inventories, which declined slightly. New orders rose sharply in March, with production also higher. Vendor deliveries slowed, another sign that the economy improved in March. Employment expanded for the first time since August 1984. Robert Bretz, chairman of the NAPM's business survey committee and director of materials management at Pitney Bowes Inc <PBI> said "the economy ended the first quarter with a healthy, if not substantial improvement." Bretz said the sharp rise in the growth of new orders in March assures a good beginning for the second quarter. Some 50 pct of the purchasing managers reported that they were paying higher prices in March than at the end of 1986. Of those paying higher prices now, the average increase was put at 2.5 pct. The estimated average price increase anticipated by members for the remainder of 1987 is 2.1 pct. While prices continue to rise, the NAPM said that most purchasers do not see them as being significant. The composite index is a seasonally adjusted figure, based on five components of the NAPM business survey - new orders, production, vendor deliveries, inventories and employment. The monthly report is based on questions asked of purchasing managers at 250 U.S. industrial companies. Reuter
U.K. RETAIL SALES RISE FINAL 2.21 PCT IN FEBRUARY|The volume of U.K. Retail sales rose a final, seasonally adjusted 2.21 pct in February after falling a final 2.16 pct in January, Department of Trade and Industry figures show. The February all-retailers sales index, base 1980, was put at a final 125.0 after 122.3 in January. In the three months from December 1986 to February 1987, the level of sales was unchanged from the previous three months but was up by almost 6.0 pct from the same 1985/86 period. On a non-seasonally adjusted basis, retail sales in February were 9.0 pct higher than a year earlier, the Department said. REUTER
OLIVETTI TO ANNOUNCE NEW COMPUTER LINE IN JUNE|Ing. C. Olivetti EC Spa <OLIV.MI> plans to announce a new line of computer products in June, company chairman Carlo De Benedetti said at a news conference. De Benedetti said the new products would include personal computers and would compete with the new computers announced last week by International Business Machines Corp <IBM>. De Benedetti reiterated that Olivetti's provisional figures show that 1986 turnover rose 1160 billion lire to 7,300 billion lire and that net profit will be more than 550 billion lire compared with 503.7 billion the year before. "This year will be a year of consolidation of the results reached thus far and characterized by an important renewal of the product line and the turnaround of Triumph Adler," he said. Olivetti acquired West German typewriter maker <Triumph Adler> from Volkswagen AG <VOWG.F> last year . As part of the deal, VW bought a five pct stake in Olivetti. De Benedetti added that Olivetti would continue to seek international alliances. Reuter
BRAZIL SEAMEN'S STRIKE ENDS|A Brazilian seamen's strike, which began on February 27 and has been tapering off for weeks, has now ended, a seamen's spokesman said. The spokesman said the seamen had signed an agreement with the state-owned Lloyd Brasileiro company on Saturday for a 120 pct salary rise. The national strike had been tailing off since mid-March as seamen struck individual accords with companies. At the height of the stoppage, seamen said about 200 ships were strike-bound. Reuter
HITK <HITK> JOINS NASDAQ NATIONAL MARKET SYSTEM|HITK Corp said its common stock will be included in NASDAQ's National Market System starting today, making the stock marginable. Reuter
SYNERGEN <SYGN> PLANS COMMON STOCK OFFER|Synergen Inc said it plans to file with the Securities and Exchange Commission to sell about 1.5 mln shares of common stock. Proceeds would be used to fund research and development, for product testing, working capital and general purposes. The offering will be made through underwriters and only by means of a prospectus, the biotechnology firm said. Reuter
LONDON SILVER FIX HIGHEST SINCE APRIL 1985|Silver bullion was fixed at 674.50 cents an ounce, its highest since mid-April 1985, dealers said. The metal continued to be supported by gold/silver ratio dealing, with traders buying silver and selling gold. Dealers said the market also featured some panic short-covering. Silver moved steadily higher during the morning after opening at 671/674, up from its previous close of 663/665. Three months was fixed at 426.50 pence, up from last night's final 418.50/420.50. REUTER
